acpi-support-base 0.140-5+deb7u3
python-keystoneclient 1:0.9.0-1~bpo70+1
python-keystonemiddleware 1.0.0-2~bpo70+1
python-kombu 2.5.15-1~bpo70+1
python-lesscpy 0.10-1~bpo70+1
python-librabbitmq 1.0.1-1~bpo70+1
python-libvirt 1.2.1-2~bpo70+1
python-libxml2 2.8.0+dfsg1-7+wheezy2
python-lockfile 1:0.8-2
python-logutils 0.3.3-1~bpo70+1
python-lxml 2.3.2-1+deb7u1
python-m2crypto 0.21.1-2
python-mako 0.7.0-1.1
python-markupsafe 0.15-1
python-memcache 1.48-1
python-migrate 0.9.1-1~bpo70+1
python-mimeparse 0.1.4-1~bpo70+1
python-minimal 2.7.3-4+deb7u1
python-mock 1.0.1-1~bpo70+1
python-msgpack 0.3.0-1~bpo70+2
